Team,Date,ELO,,,
ATL,1/4/17,1496.107082,,,
ATL,1/5/17,1501.899431,,,
ATL,1/7/17,1511.932852,,,
ATL,1/10/17,1517.70474,,,
ATL,1/13/17,1513.606601,,,
ATL,1/15/17,1525.632075,,,
ATL,1/16/17,1528.071351,,,
ATL,1/18/17,1507.521903,,,
ATL,1/20/17,1516.109777,,,
ATL,1/21/17,1522.237323,,,
ATL,1/23/17,1514.192253,,,
ATL,1/25/17,1520.72369,,,
ATL,1/27/17,1503.277068,,,
ATL,1/29/17,1506.993852,,,
ATL,2/1/17,1487.377226,,,
ATL,2/2/17,1497.484036,,,
ATL,2/4/17,1508.724131,,,
ATL,2/6/17,1494.099184,,,
ATL,2/8/17,1503.715776,,,
ATL,2/10/17,1499.021678,,,
ATL,2/13/17,1505.548435,,,
ATL,2/15/17,1494.15815,,,
ATL,2/24/17,1480.29441,,,
ATL,2/25/17,1460.472343,,,
ATL,2/27/17,1481.183725,,,
ATL,3/1/17,1487.547993,,,
ATL,3/3/17,1483.078999,,,
ATL,3/5/17,1479.48943,,,
ATL,3/6/17,1476.254794,,,
ATL,3/8/17,1478.747645,,,
ATL,3/10/17,1488.044641,,,
ATL,3/11/17,1504.216425,,,
ATL,3/13/17,1499.640195,,,
ATL,3/16/17,1489.42722,,,
ATL,3/18/17,1475.982834,,,
ATL,3/20/17,1462.233192,,,
ATL,3/22/17,1457.439402,,,
ATL,3/24/17,1452.403962,,,
ATL,3/26/17,1436.421643,,,
ATL,3/28/17,1439.698359,,,
ATL,3/29/17,1445.943075,,,
ATL,4/1/17,1441.551884,,,
ATL,4/2/17,1429.618478,,,
ATL,4/6/17,1441.858734,,,
ATL,4/7/17,1461.91882,,,
ATL,4/9/17,1467.177688,,,
ATL,4/11/17,1486.315693,,,
ATL,4/12/17,1471.707132,,,
ATL,4/16/17,1464.977334,,,
ATL,4/19/17,1457.957114,,,
ATL,4/22/17,1478.39556,,,
ATL,4/24/17,1490.840743,,,
ATL,4/26/17,1485.24316,,,
ATL,4/28/17,1474.063683,,,
BOS,10/28/13,1484.961575,,,
BOS,10/30/13,1477.213141,,,
BOS,11/1/13,1468.81981,,,
BOS,11/3/13,1457.336032,,,
BOS,11/4/13,1451.535671,,,
BOS,11/6/13,1462.457672,,,
BOS,11/8/13,1465.816606,,,
BOS,11/9/13,1473.631377,,,
BOS,11/11/13,1481.520013,,,
BOS,11/13/13,1472.607814,,,
BOS,11/15/13,1461.385895,,,
BOS,11/16/13,1448.19708,,,
BOS,11/19/13,1434.475211,,,
BOS,11/20/13,1429.449195,,,
BOS,11/22/13,1422.357717,,,
BOS,11/23/13,1433.944046,,,
BOS,11/25/13,1442.370842,,,
BOS,11/27/13,1436.966401,,,
BOS,11/29/13,1445.488906,,,
BOS,11/30/13,1435.425546,,,
BOS,12/3/13,1441.412733,,,
BOS,12/6/13,1455.469899,,,
BOS,12/8/13,1488.565238,,,
BOS,12/10/13,1478.466105,,,
BOS,12/11/13,1472.691133,,,
BOS,12/13/13,1478.51704,,,
BOS,12/16/13,1485.504035,,,
BOS,12/18/13,1481.504299,,,
BOS,12/21/13,1473.391063,,,
BOS,12/22/13,1461.544202,,,
BOS,12/28/13,1464.780355,,,
BOS,12/31/13,1461.422101,,,
BOS,1/2/14,1450.095789,,,
BOS,1/3/14,1445.061772,,,
BOS,1/5/14,1437.339411,,,
BOS,1/7/14,1419.343428,,,
BOS,1/8/14,1415.122064,,,
BOS,1/10/14,1412.465157,,,
BOS,1/11/14,1406.837664,,,
BOS,1/13/14,1400.460139,,,
BOS,1/15/14,1411.18453,,,
BOS,1/17/14,1405.610437,,,
BOS,1/19/14,1399.708057,,,
BOS,1/21/14,1395.734462,,,
BOS,1/22/14,1402.405248,,,
BOS,1/24/14,1397.38338,,,
BOS,1/26/14,1391.973481,,,
BOS,1/28/14,1375.272582,,,
BOS,1/29/14,1370.970759,,,
BOS,2/2/14,1376.351702,,,
BOS,2/5/14,1381.555998,,,
BOS,2/7/14,1393.264791,,,
BOS,2/9/14,1386.914172,,,
BOS,2/10/14,1394.737628,,,
BOS,2/12/14,1389.876662,,,
BOS,2/19/14,1385.017404,,,
